date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:49	7731/7731	---M-Z	200	added ('OK')	text/html	etag:W/%22637e340b-1e33%22	https://www.hegic.co/app	C:/My%20Web%20Sites/asdasf/www.hegic.co/app.html	(from )
16:31:54	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22636ad58a-247b%22	https://www.hegic.co/robots.txt		(from )
16:31:54	33310/33310	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22637e340b-821e%22	https://www.hegic.co/assets/favicon.ico	C:/My%20Web%20Sites/asdasf/www.hegic.co/assets/favicon.ico	(from https://www.hegic.co/app)
16:31:54	326/326	---M--	200	added ('OK')	image/png	etag:%22637e340b-146%22	https://www.hegic.co/assets/favicon-16x16.png	C:/My%20Web%20Sites/asdasf/www.hegic.co/assets/favicon-16x16.png	(from https://www.hegic.co/app)
16:31:54	558/558	---M--	200	added ('OK')	image/png	etag:%22637e340b-22e%22	https://www.hegic.co/assets/favicon-32x32.png	C:/My%20Web%20Sites/asdasf/www.hegic.co/assets/favicon-32x32.png	(from https://www.hegic.co/app)
16:31:55	810/810	---M--	200	added ('OK')	image/png	etag:%22637e340b-32a%22	https://www.hegic.co/assets/favicon-48x48.png	C:/My%20Web%20Sites/asdasf/www.hegic.co/assets/favicon-48x48.png	(from https://www.hegic.co/app)
16:31:55	1483/1483	---M-Z	200	added ('OK')	application/manifest+json	etag:W/%22637e340b-5cb%22	https://www.hegic.co/assets/manifest.webmanifest	C:/My%20Web%20Sites/asdasf/www.hegic.co/assets/manifest.webmanifest	(from https://www.hegic.co/app)
16:31:55	937/937	---M--	200	added ('OK')	image/png	etag:%22637e340b-3a9%22	https://www.hegic.co/assets/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/asdasf/www.hegic.co/assets/apple-touch-icon-57x57.png	(from https://www.hegic.co/app)
16:31:55	1074/1074	---M--	200	added ('OK')	image/png	etag:%22637e340b-432%22	https://www.hegic.co/assets/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/asdasf/www.hegic.co/assets/apple-touch-icon-60x60.png	(from https://www.hegic.co/app)
16:31:55	1180/1180	---M--	200	added ('OK')	image/png	etag:%22637e340b-49c%22	https://www.hegic.co/assets/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/asdasf/www.hegic.co/assets/apple-touch-icon-72x72.png	(from https://www.hegic.co/app)
16:31:56	1277/1277	---M--	200	added ('OK')	image/png	etag:%22637e340b-4fd%22	https://www.hegic.co/assets/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/asdasf/www.hegic.co/assets/apple-touch-icon-76x76.png	(from https://www.hegic.co/app)
16:31:56	1918/1918	---M--	200	added ('OK')	image/png	etag:%22637e340b-77e%22	https://www.hegic.co/assets/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/asdasf/www.hegic.co/assets/apple-touch-icon-114x114.png	(from https://www.hegic.co/app)
16:31:56	2000/2000	---M--	200	added ('OK')	image/png	etag:%22637e340b-7d0%22	https://www.hegic.co/assets/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/asdasf/www.hegic.co/assets/apple-touch-icon-120x120.png	(from https://www.hegic.co/app)
16:31:56	2526/2526	---M--	200	added ('OK')	image/png	etag:%22637e340b-9de%22	https://www.hegic.co/assets/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/asdasf/www.hegic.co/assets/apple-touch-icon-144x144.png	(from https://www.hegic.co/app)
16:31:57	2628/2628	---M--	200	added ('OK')	image/png	etag:%22637e340b-a44%22	https://www.hegic.co/assets/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/asdasf/www.hegic.co/assets/apple-touch-icon-152x152.png	(from https://www.hegic.co/app)
16:31:57	3087/3087	---M--	200	added ('OK')	image/png	etag:%22637e340b-c0f%22	https://www.hegic.co/assets/apple-touch-icon-167x167.png	C:/My%20Web%20Sites/asdasf/www.hegic.co/assets/apple-touch-icon-167x167.png	(from https://www.hegic.co/app)
